old_identifier,new_identifier
AI_PLC2_Khuay_Thuan_Bon4_Xong_HMI,PLC2_Khuay_Thuan_Bon4_Xong_HMI
AI_PLC2_Last_CmdSeq,PLC2_Last_CmdSeq
AI_PLC2_Load_Default_Cmd_Nhan,PLC2_Load_Default_Cmd_Nhan
AI_PLC2_Load_Default_Cmd_Nhan_Eff,PLC2_Load_Default_Cmd_Nhan_Eff
AI_PLC2_Load_Default_Cmd_Nhan_HMI,PLC2_Load_Default_Cmd_Nhan_HMI
AI_PLC2_Load_Default_Cmd_Nhan_HMI_Gated,PLC2_Load_Default_Cmd_Nhan_HMI_Gated
AI_PLC2_Load_Default_Done,PLC2_Load_Default_Done
AI_PLC2_Load_Default_Done_M,PLC2_Load_Default_Done_M
AI_PLC2_Loi_Dosing,PLC2_Loi_Dosing
AI_PLC2_Loi_Dry_Run,PLC2_Loi_Dry_Run
AI_PLC2_Loi_Setpoint,PLC2_Loi_Setpoint
AI_PLC2_Loi_Tong,PLC2_Loi_Tong
AI_PLC2_Loi_Tong_Recv,PLC2_Loi_Tong_Recv
AI_PLC2_Loi_Truyen_Thong,PLC2_Loi_Truyen_Thong
AI_PLC2_Me_Nhanh2_Hoan_Thanh,PLC2_Me_Nhanh2_Hoan_Thanh
AI_PLC2_Me_Nhanh2_Hoan_Thanh_M,PLC2_Me_Nhanh2_Hoan_Thanh_M
AI_PLC2_Me_Nhanh2_Hoan_Thanh_Nhan,PLC2_Me_Nhanh2_Hoan_Thanh_Nhan
